date,day,month,year
2020-01-30,30,1,2020
2020-01-31,31,1,2020
2020-02-03,3,2,2020
2020-02-08,8,2,2020
2020-02-09,9,2,2020
2020-02-11,11,2,2020
2020-02-12,12,2,2020
2020-02-13,13,2,2020
2020-02-16,16,2,2020
2020-02-17,17,2,2020
2020-02-19,19,2,2020
2020-02-21,21,2,2020
2020-02-23,23,2,2020
2020-02-24,24,2,2020
2020-02-25,25,2,2020
2020-02-26,26,2,2020
2020-02-27,27,2,2020
2020-02-28,28,2,2020
2020-02-29,29,2,2020
2020-03-01,1,3,2020
2020-03-02,2,3,2020
2020-03-03,3,3,2020
2020-03-04,4,3,2020
2020-03-05,5,3,2020
2020-03-06,6,3,2020
2020-03-07,7,3,2020
2020-03-08,8,3,2020
2020-03-09,9,3,2020
2020-03-10,10,3,2020
2020-03-11,11,3,2020
2020-03-12,12,3,2020
2020-03-13,13,3,2020
2020-03-14,14,3,2020
2020-03-15,15,3,2020
2020-03-16,16,3,2020
2020-03-17,17,3,2020
2020-03-18,18,3,2020
2020-03-19,19,3,2020
2020-03-20,20,3,2020
2020-03-21,21,3,2020
2020-03-22,22,3,2020
2020-03-23,23,3,2020
2020-03-24,24,3,2020
2020-03-25,25,3,2020
2020-03-26,26,3,2020
2020-03-27,27,3,2020
2020-03-28,28,3,2020
2020-03-29,29,3,2020
2020-03-30,30,3,2020
2020-03-31,31,3,2020
2020-04-01,1,4,2020
2020-04-02,2,4,2020
2020-04-03,3,4,2020
2020-04-04,4,4,2020
2020-04-05,5,4,2020
2020-04-06,6,4,2020
2020-04-07,7,4,2020
2020-04-08,8,4,2020
2020-04-09,9,4,2020
2020-04-10,10,4,2020
2020-04-11,11,4,2020
2020-04-12,12,4,2020
2020-04-13,13,4,2020
2020-04-14,14,4,2020
2020-04-15,15,4,2020
2020-04-16,16,4,2020
2020-04-17,17,4,2020
2020-04-18,18,4,2020
2020-04-19,19,4,2020
2020-04-20,20,4,2020
2020-04-21,21,4,2020
